name,id,start_time,duration_time
A,qcdivQfA41Y,00:02:09,00:00:04
B,qcdivQfA41Y,00:02:14,00:00:02
C,qcdivQfA41Y,00:02:17,00:00:03
D,qcdivQfA41Y,00:02,00:00:04
E,qcdivQfA41Y,00:02:26,00:00:03
F,qcdivQfA41Y,00:02:35,00:00:02
G,qcdivQfA41Y,00:02:57,00:00:03
H,qcdivQfA41Y,00:03:00,00:00:03
I,qcdivQfA41Y,00:03:08,00:00:03
J,qcdivQfA41Y,00:03:18,00:00:03
K,qcdivQfA41Y,00:03:32,00:00:03
L,qcdivQfA41Y,00:03:42,00:00:03
M,qcdivQfA41Y,00:03:46,00:00:02
N,qcdivQfA41Y,00:04:06,00:00:03
O,qcdivQfA41Y,00:04:10,00:00:03
P,qcdivQfA41Y,00:04:14,00:00:02
Q,qcdivQfA41Y,00:04:17,00:00:02
R,qcdivQfA41Y,00:04:24,00:00:02
S,qcdivQfA41Y,00:04:31,00:00:02
T,qcdivQfA41Y,00:04:41,00:00:03
U,qcdivQfA41Y,00:04:51,00:00:03
V,qcdivQfA41Y,00:04:55,00:00:02
W,qcdivQfA41Y,00:04:58,00:00:03
X,qcdivQfA41Y,00:05:03,00:00:03
Y,qcdivQfA41Y,00:05:07,00:00:02
Z,qcdivQfA41Y,00:05:18,00:00:03
Hello,VtbYvVDItvg,00:01:34,00:00:02
Indian,VtbYvVDItvg,00:01:40,00:00:03
Sign,VtbYvVDItvg,00:02:00,00:00:02
Language,VtbYvVDItvg,00:02:10,00:00:04
Bye,VtbYvVDItvg,00:02:21,00:00:02
Again,VtbYvVDItvg,00:02:39,00:00:02
I,VtbYvVDItvg,00:03:04,00:00:02
Me,VtbYvVDItvg,00:03:04,00:00:02
You,VtbYvVDItvg,00:03:13,00:00:02
Man,VtbYvVDItvg,00:03:18,00:00:02
Woman,VtbYvVDItvg,00:03:42,00:00:02
He,VtbYvVDItvg,00:03:51,00:00:03
She,VtbYvVDItvg,00:04:02,00:00:02
Deaf,VtbYvVDItvg,00:04:15,00:00:02
Hearing,VtbYvVDItvg,00:04:25,00:00:02
Teacher,VtbYvVDItvg,00:04:50,00:00:02
Thank_You,VtbYvVDItvg,00:04:56,00:00:03
Thank_You_Very_Much,VtbYvVDItvg,00:05:04,00:00:02
Welcome,VtbYvVDItvg,00:05:11,00:00:02
Please,VtbYvVDItvg,00:05:20,00:00:03
Sorry,VtbYvVDItvg,00:05:43,00:00:02
Namaste,VtbYvVDItvg,00:05:56,00:00:03
How_are_you,VtbYvVDItvg,00:06:26,00:00:03
Iam_fine,VtbYvVDItvg,00:06:31,00:00:03
My_name_is,VtbYvVDItvg,00:07:11,00:00:01
Practice,VtbYvVDItvg,00:07:54,00:00:02
Yes,lffGJ29IhZQ,00:00:49,00:00:01
No,lffGJ29IhZQ,00:00:53,00:00:02
Good,lffGJ29IhZQ,00:01:13,00:00:01
Bad,lffGJ29IhZQ,00:01:16,00:00:02
Correct,lffGJ29IhZQ,00:01:26,00:00:02
Wrong,lffGJ29IhZQ,00:01:30,00:00:02
Weak,lffGJ29IhZQ,00:01:40,00:00:02
Thin,lffGJ29IhZQ,00:01:47,00:00:01
Easy,lffGJ29IhZQ,00:02:05,00:00:02
Difficult,lffGJ29IhZQ,00:02:19,00:00:02
Strong,lffGJ29IhZQ,00:02:31,00:00:02
Child,lffGJ29IhZQ,00:02:43,00:00:02
Boy,lffGJ29IhZQ,00:02:46,00:00:02
Girl,lffGJ29IhZQ,00:02:57,00:00:03
Food,lffGJ29IhZQ,00:03:03,00:00:02
Day,lffGJ29IhZQ,00:03:12,00:00:03
Good_Morning,lffGJ29IhZQ,00:03:38,00:00:01
Good_Afternoon,lffGJ29IhZQ,00:03:42,00:00:02
Good_Evening,lffGJ29IhZQ,00:03:49,00:00:02
Good_Night,lffGJ29IhZQ,00:04:01,00:00:02
Peace,lffGJ29IhZQ,00:04:21,00:00:02
No_fear,lffGJ29IhZQ,00:04:30,00:00:02
Understand,lffGJ29IhZQ,00:04:51,00:00:03
I_dont_understand,lffGJ29IhZQ,00:04:57,00:00:03
Remember,lffGJ29IhZQ,00:05:07,00:00:02
Tree,bIkHfFlu4VU,00:00,00:00:03
Flower,bIkHfFlu4VU,00:00:46,00:00:03
House,bIkHfFlu4VU,00:00:54,00:00:02
Apartment,bIkHfFlu4VU,00:01:07,00:00:03
Car,bIkHfFlu4VU,00:01:11,00:00:02
Table,bIkHfFlu4VU,00:01:31,00:00:02
Happy,bIkHfFlu4VU,00:01:35,00:00:02
Sad,bIkHfFlu4VU,00:01:47,00:00:02
Beautiful,bIkHfFlu4VU,00:01:57,00:00:03
Ugly,bIkHfFlu4VU,00:02:07,00:00:03
Fat,bIkHfFlu4VU,00:02:17,00:00:02
Tall,bIkHfFlu4VU,00:02:23,00:00:03
Short,bIkHfFlu4VU,00:02:38,00:00:02
Generous,bIkHfFlu4VU,00:03:02,00:00:03
Clever,bIkHfFlu4VU,00:03:22,00:00:03
Sweet,bIkHfFlu4VU,00:03:33,00:00:02
Bright,bIkHfFlu4VU,00:03:43,00:00:03
Dark,bIkHfFlu4VU,00:03:52,00:00:03
Paper,bIkHfFlu4VU,00:04:02,00:00:02
Camera,bIkHfFlu4VU,00:04:12,00:00:01
Photo,bIkHfFlu4VU,00:04:19,00:00:04
Work,bIkHfFlu4VU,00:04:34,00:00:04
Question,DOFPRw6Epl0,00:00:29,00:00:02
Answer,DOFPRw6Epl0,00:00:50,00:00:02
Time,DOFPRw6Epl0,00:01:10,00:00:02
Face,DOFPRw6Epl0,00:01:17,00:00:02
This,DOFPRw6Epl0,00:01:20,00:00:02
What,DOFPRw6Epl0,00:01:31,00:00:02
Why,DOFPRw6Epl0,00:01:52,00:00:02
How,DOFPRw6Epl0,00:01:55,00:00:02
Where,DOFPRw6Epl0,00:02:08,00:00:02
Who,DOFPRw6Epl0,00:02:20,00:00:02
When,DOFPRw6Epl0,00:02:29,00:00:02
Which,DOFPRw6Epl0,00:02:38,00:00:03
Family,drs0_jcKr5w,00:00,00:00:03
Mother,drs0_jcKr5w,00:01:22,00:00:01
Father,drs0_jcKr5w,00:01:29,00:00:01
Wife,drs0_jcKr5w,00:01:39,00:00:03
Husband,drs0_jcKr5w,00:01:45,00:00:03
Daughter,drs0_jcKr5w,00:01:51,00:00:03
Son,drs0_jcKr5w,00:02:00,00:00:03
Sister,drs0_jcKr5w,00:02:08,00:00:02
Brother,drs0_jcKr5w,00:02:17,00:00:03
Grandmother,drs0_jcKr5w,00:02:31,00:00:02
Grandfather,drs0_jcKr5w,00:02:35,00:00:03
Aunt,drs0_jcKr5w,00:02:41,00:00:03
Uncle,drs0_jcKr5w,00:02:56,00:00:01
